Disease,Drug,Egyptian Brand,Role,Dosage,Key Side Effects,Avoid In,Allergy Warning,Drug Interaction Warning
(Vertigo) Paroxysmal Positional Vertigo,Betahistine,Betaserc,First-line,16mg 3 times daily,"Headache, nausea",Consult physician for chronic disease interactions,Betahistine allergy,Check interactions with current medications
(Vertigo) Paroxysmal Positional Vertigo,Cinnarizine,Stugeron,Alternative,25mg 3 times daily,Drowsiness,Consult physician for chronic disease interactions,Cinnarizine allergy,Check interactions with current medications
(Vertigo) Paroxysmal Positional Vertigo,Dimenhydrinate,Dramamine,Symptomatic,50mg as needed,Dry mouth,Consult physician for chronic disease interactions,Dimenhydrinate allergy,Check interactions with current medications
AIDS,Tenofovir,Viraday,ART,300mg daily,Kidney toxicity,Consult physician for chronic disease interactions,Tenofovir allergy,Check interactions with current medications
AIDS,Lamivudine,Lamivir,ART,150mg twice daily,Fatigue,Consult physician for chronic disease interactions,Lamivudine allergy,Check interactions with current medications
AIDS,Efavirenz,Stocrin,ART,600mg nightly,Dizziness,Consult physician for chronic disease interactions,Efavirenz allergy,Check interactions with current medications
Acne,Adapalene,Differin,Topical,Once nightly,Skin irritation,Consult physician for chronic disease interactions,Adapalene allergy,Check interactions with current medications
Acne,Doxycycline,Vibramycin,Oral antibiotic,100mg daily,Photosensitivity,Consult physician for chronic disease interactions,Doxycycline allergy,Check interactions with current medications
Acne,Benzoyl Peroxide,Benzac,Topical,Once daily,Dry skin,Consult physician for chronic disease interactions,Benzoyl Peroxide allergy,Check interactions with current medications
Alcoholic hepatitis,Silymarin,Legalex,Supportive,140mg 3 times daily,GI upset,Consult physician for chronic disease interactions,Silymarin allergy,Check interactions with current medications
Alcoholic hepatitis,Lactulose,Duphalac,Supportive,15-30ml daily,Bloating,Consult physician for chronic disease interactions,Lactulose allergy,Check interactions with current medications
Alcoholic hepatitis,Prednisolone,Predsol,Severe cases,40mg daily,Weight gain,Consult physician for chronic disease interactions,Prednisolone allergy,Check interactions with current medications
Allergy,Cetirizine,Zyrtec,First-line,10mg daily,Drowsiness,Consult physician for chronic disease interactions,Cetirizine allergy,Check interactions with current medications
Allergy,Loratadine,Claritine,Alternative,10mg daily,Headache,Consult physician for chronic disease interactions,Loratadine allergy,Check interactions with current medications
Allergy,Fexofenadine,Telfast,Alternative,120mg daily,Nausea,Consult physician for chronic disease interactions,Fexofenadine allergy,Check interactions with current medications
Arthritis,Diclofenac,Cataflam,Pain relief,50mg twice daily,GI irritation,"Kidney disease, ulcers",NSAID allergy,Steroids increase ulcer risk
Arthritis,Celecoxib,Celebrex,Anti-inflammatory,200mg daily,Edema,Consult physician for chronic disease interactions,Celecoxib allergy,Check interactions with current medications
Arthritis,Paracetamol,Panadol,Mild pain,500mg as needed,Liver toxicity,Severe liver disease,Paracetamol allergy,Alcohol increases liver toxicity
Bronchial Asthma,Salbutamol,Ventolin,Rescue inhaler,100-200mcg as needed,Tremor,Severe arrhythmia,Salbutamol allergy,Other stimulants increase palpitations
Bronchial Asthma,Budesonide,Pulmicort,Controller,200-400mcg twice daily,Oral thrush,Consult physician for chronic disease interactions,Budesonide allergy,Check interactions with current medications
Bronchial Asthma,Montelukast,Singulair,Add-on,10mg nightly,Headache,Consult physician for chronic disease interactions,Montelukast allergy,Check interactions with current medications
Cervical spondylosis,Thiocolchicoside,Muscoril,Muscle relaxant,4mg twice daily,Drowsiness,Consult physician for chronic disease interactions,Thiocolchicoside allergy,Check interactions with current medications
Cervical spondylosis,Diclofenac,Voltaren,Pain relief,50mg twice daily,GI irritation,"Kidney disease, ulcers",NSAID allergy,Steroids increase ulcer risk
Cervical spondylosis,Meloxicam,Mobic,Anti-inflammatory,15mg daily,Nausea,Consult physician for chronic disease interactions,Meloxicam allergy,Check interactions with current medications
Chicken pox,Acyclovir,Zovirax,Antiviral,800mg 5 times daily,Nausea,Consult physician for chronic disease interactions,Acyclovir allergy,Check interactions with current medications
Chicken pox,Paracetamol,Panadol,Fever relief,500mg every 6h,Liver toxicity,Severe liver disease,Paracetamol allergy,Alcohol increases liver toxicity
Chicken pox,Calamine Lotion,Calamine,Skin relief,Topical,Skin dryness,Consult physician for chronic disease interactions,Calamine Lotion allergy,Check interactions with current medications
Chronic cholestasis,Ursodeoxycholic Acid,Ursofalk,First-line,250mg 3 times daily,Diarrhea,Consult physician for chronic disease interactions,Ursodeoxycholic Acid allergy,Check interactions with current medications
Chronic cholestasis,Cholestyramine,Questran,Itching relief,4g daily,Constipation,Consult physician for chronic disease interactions,Cholestyramine allergy,Check interactions with current medications
Chronic cholestasis,Silymarin,Legalex,Supportive,140mg 3 times daily,GI upset,Consult physician for chronic disease interactions,Silymarin allergy,Check interactions with current medications
Common Cold,Paracetamol,Panadol Cold & Flu,First-line,500-1000mg every 4-6h,Liver toxicity,Severe liver disease,Paracetamol allergy,Alcohol increases liver toxicity
Common Cold,Cetirizine,Zyrtec,Symptomatic,10mg daily,Drowsiness,Consult physician for chronic disease interactions,Cetirizine allergy,Check interactions with current medications
Common Cold,Dextromethorphan,Bronchicum,Cough relief,10-20mg every 4h,Dizziness,Consult physician for chronic disease interactions,Dextromethorphan allergy,Check interactions with current medications
Dengue,Paracetamol,Panadol,Supportive,500-1000mg every 4-6h,Liver toxicity,Severe liver disease,Paracetamol allergy,Alcohol increases liver toxicity
Dengue,ORS,Rehydran,Hydration,As needed,,Consult physician for chronic disease interactions,ORS allergy,Check interactions with current medications
Dengue,IV Fluids,Hospital use,Severe cases,Clinical supervision,Fluid overload,Consult physician for chronic disease interactions,IV Fluids allergy,Check interactions with current medications
Diabetes,Metformin XR,Glucophage XR 1000,First-line,500-1000mg twice daily,"Nausea, diarrhea","Kidney disease, severe liver disease",Metformin allergy,Alcohol increases lactic acidosis risk
Diabetes,Gliclazide,Diamicron MR,Second-line,30-60mg daily,Hypoglycemia,Hypoglycemia risk,Sulfonylurea allergy,Other diabetes drugs may increase hypoglycemia
Diabetes,Insulin Glargine,Lantus,Rescue,Weight based,Hypoglycemia,Hypoglycemia,Insulin allergy,Beta blockers may mask hypoglycemia
Dimorphic hemorrhoids (piles),Daflon,Daflon 500,First-line,500mg twice daily,GI upset,Consult physician for chronic disease interactions,Daflon allergy,Check interactions with current medications
Dimorphic hemorrhoids (piles),Lidocaine Cream,Procto-Glyvenol,Pain relief,Topical,Skin irritation,Consult physician for chronic disease interactions,Lidocaine Cream allergy,Check interactions with current medications
